"id","name","aff_val","open_val","play_val","vigilant_val","train_val","energy_val","bored_val"
86,"Collie",0.50,0.01,0.50,0.01,0.50,0.01,0.01
87,"Coton de Tulear",1.00,1.00,0.50,0.01,0.50,0.01,0.01
89,"Curly-Coated Retriever",1.00,0.01,0.50,0.50,0.50,0.50,0.01
91,"Dachshund",1.00,0.50,0.50,0.50,0.50,0.01,0.01
92,"Dalmatian",1.00,0.50,0.50,0.50,0.50,0.50,0.50
93,"Dandie Dinmont Terrier",0.50,0.50,0.01,0.50,0.50,0.01,0.01
95,"Doberman Pinscher",1.00,0.50,0.50,1.00,1.00,1.00,0.50
96,"Dogo Argentino",1.00,0.50,0.50,1.00,1.00,1.00,0.50
97,"Dogue de Bordeaux",1.00,0.01,0.01,1.00,0.50,0.01,0.50
100,"Dutch Shepherd",1.00,0.01,0.50,1.00,1.00,1.00,1.00
101,"English Foxhound",1.00,0.50,0.50,0.01,0.50,0.50,0.50
102,"English Setter",1.00,0.50,0.50,0.01,0.50,0.01,0.50
103,"English Springer Spanies",1.00,0.50,0.50,0.01,1.00,0.50,0.50
104,"English Toy Spaniel",1.00,0.01,0.50,0.01,0.01,0.01,0.01
105,"Entlebucher",1.00,0.01,0.01,1.00,0.01,1.00,0.50
106,"Estrela Mountain Dog",1.00,-0.50,0.01,1.00,0.50,0.01,0.01
107,"Eurasier",0.50,-0.50,0.01,0.01,0.50,0.01,0.50
108,"Field Spaniel",1.00,0.50,0.01,0.50,1.00,0.01,0.01
109,"Finnish Lapphund",1.00,0.50,0.01,0.01,0.50,0.01,0.01
110,"Finnish Spitz",1.00,0.01,0.01,0.01,0.01,1.00,0.50
111,"Flat-Coated Retriever",1.00,1.00,1.00,0.01,1.00,1.00,0.50
112,"French Bulldog",1.00,1.00,1.00,0.01,0.50,0.01,0.01
114,"German Longhaired Pointer",1.00,0.50,0.50,0.01,1.00,0.50,0.50
115,"German Pinscher",1.00,0.01,0.50,0.50,1.00,1.00,0.50
116,"German Shepherd Dog",1.00,0.01,0.50,1.00,1.00,1.00,1.00
117,"German Shorthaired Pointer",1.00,0.50,0.50,0.50,1.00,1.00,1.00
118,"German Spitz",-1.00,-1.00,0.50,0.01,1.00,0.01,1.00
119,"German Wirehaired Pointer",1.00,0.50,0.50,0.01,1.00,1.00,0.50
120,"Giant Schnauzer",0.50,-0.50,1.00,1.00,0.01,1.00,1.00
121,"Glen of Imaal Terrier",1.00,0.01,0.01,0.01,0.01,0.01,0.01
122,"Golden Retriever",1.00,1.00,0.50,0.01,1.00,0.01,0.50
123,"Gordon Setter",1.00,0.01,0.01,0.50,1.00,1.00,0.50
124,"Great Dane",1.00,0.01,0.50,1.00,0.01,0.50,0.50
125,"Great Pyrenees",1.00,0.01,0.01,1.00,0.01,0.01,0.01
126,"Greater Swiss Mountain Dog",1.00,1.00,0.50,0.50,0.50,0.50,0.50
125,"Greyhound",0.50,0.01,0.01,0.01,0.01,0.50,0.01
126,"Hamiltonstovare",1.00,1.00,0.50,0.50,0.50,0.50,0.50
127,"Hound",0.01,0.01,0.01,-0.50,0.50,0.50,0.01
128,"Harrier",1.00,0.50,0.50,0.01,0.50,0.50,0.50
129,"Havanese",1.00,1.00,1.00,0.01,0.50,0.01,0.01
130,"Hokkaido",1.00,0.01,0.01,1.00,0.50,0.50,0.50
131,"Hovawart",1.00,0.50,0.50,1.00,0.50,0.01,0.50
132,"Ibizan Hound",1.00,0.01,0.50,0.01,0.01,1.00,1.00
133,"Icelandic Sheepdog",1.00,0.01,0.01,0.50,1.00,0.50,0.50
134,"Irish Setter",1.00,1.00,1.00,0.01,0.50,1.00,0.50
135,"Irish Terrier",1.00,0.01,0.01,1.00,0.01,0.01,0.50
136,"Irish Water Spaniel",1.00,0.01,1.00,0.01,1.00,0.01,0.50
137,"Irish Wolfhound",1.00,0.01,0.01,1.00,0.01,0.01,0.01
138,"Italian Greyhound",1.00,1.00,0.50,0.01,0.50,0.01,0.01
141,"Japanese Chin",1.00,0.01,0.01,0.01,0.01,0.01,0.01
142,"Japanese Spitz",0.01,1.00,0.01,0.01,1.00,0.01,0.01
143,"Japanese Terrier",0.01,0.01,0.01,1.00,-1.00,0.01,0.01
144,"Kai Dog",1.00,-1.00,0.01,1.00,0.01,0.01,0.01
145,"Karelian Bear Dog",0.01,0.01,0.01,1.00,0.50,0.01,0.01
146,"Keeshond",1.00,1.00,1.00,1.00,1.00,0.50,0.50
147,"Kerry Blue Terrier",1.00,0.01,0.01,1.00,0.01,0.50,0.50
148,"Kishu",1.00,1.00,0.01,0.01,0.01,0.01,1.00
149,"Komondor",1.00,0.01,0.01,1.00,0.50,0.01,0.01
150,"Jindo",0.01,-1.00,0.01,0.01,0.01,0.01,0.01
151,"Kromforhrlander",1.00,0.50,0.50,0.01,0.50,0.50,0.01
152,"Kuvasz",1.00,0.01,0.01,1.00,1.00,0.01,0.01
153,"Labrador Retriever",1.00,1.00,1.00,0.01,1.00,1.00,0.50
154,"Lagotto Romagnolo",1.00,0.50,0.50,0.01,0.50,0.50,0.50
155,"Lakeland Terrier",1.00,0.01,0.50,0.01,0.01,0.01,0.50
156,"Lancashire Heeler",1.00,0.50,0.50,0.01,0.50,0.50,0.50
158,"Munsterlander",0.50,0.50,0.01,0.01,1.00,0.50,0.50
159,"Leonberger",1.00,1.00,0.01,0.50,1.00,0.01,0.50
160,"Lhasa Apo",1.00,0.01,0.01,1.00,0.01,0.01,0.01
161,"Maltese",1.00,0.01,0.01,0.50,0.01,0.01,0.01
162,"Manchester Terrier",1.00,0.01,0.50,0.50,0.50,0.50,0.01
163,"Mastiff",1.00,0.01,0.01,1.00,0.01,0.01,0.01
165,"Miniature Bull Terrier",1.00,0.01,0.50,0.50,0.01,0.50,0.50
166,"Miniature Pinscher",1.00,0.01,0.50,1.00,0.01,1.00,1.00
167,"Miniature Schnauzer",1.00,0.01,0.50,0.50,1.00,0.01,0.50
168,"Mountain Cur",0.01,-1.00,1.00,1.00,1.00,1.00,1.00
170,"Neapolitan Mastiff",0.01,0.01,-0.50,1.00,0.01,-0.50,0.01
171,"Kooikerhonje",1.00,0.50,0.01,0.01,1.00,0.50,0.50
172,"Newfoundland",1.00,1.00,0.01,1.00,0.01,0.01,0.01
173,"Norfolk Terrier",1.00,1.00,0.50,0.50,0.01,0.50,0.50
175,"Norwegian Buhund",1.00,0.01,0.01,0.50,0.01,0.50,0.50
176,"Norwegian Elkhound",1.00,0.50,0.50,1.00,0.50,0.50,0.50
177,"Norwegian Lundehund",1.00,0.01,0.01,0.01,0.01,0.01,0.01
178,"Norwich Terrier",1.00,1.00,0.50,0.50,0.01,0.50,0.50
179,"Nova Scotia Duck Tolling Retriever",1.00,0.01,1.00,0.01,1.00,1.00,0.50
180,"Old English Sheepdog",1.00,0.01,0.50,0.50,0.50,0.01,0.50
181,"Otterhound",1.00,0.50,0.01,0.01,0.50,0.01,0.01
182,"Papillon",1.00,1.00,1.00,0.50,1.00,0.50,1.00
183,"Parson Russell Terrier",1.00,0.01,0.50,0.01,0.50,1.00,0.50
184,"Pekingese",1.00,0.01,0.50,0.50,0.01,0.01,0.01
185,"Pembroke Welsh Corgi",1.00,0.50,0.50,1.00,0.50,0.50,0.50
186,"Peruvian Inca Orchid",1.00,0.01,0.01,0.01,0.01,0.50,0.50
187,"Petit Basset Griffon",0.50,0.50,0.50,0.50,0.01,0.50,0.50
188,"Pharaoh Hound",1.00,0.01,0.01,0.01,0.50,0.50,0.50
189,"Plott Hound",1.00,0.50,0.01,0.50,0.50,0.50,0.50
190,"Pointer",1.00,0.50,0.50,0.01,1.00,0.50,0.50
191,"Polish Lowland Sheepdog",1.00,0.01,0.50,1.00,0.50,0.01,0.50
192,"Pomeranian",1.00,0.01,0.01,0.50,0.01,0.01,0.01
194,"Poodle",1.00,1.00,1.00,0.01,1.00,0.50,0.50
196,"Portuguese Podengo",1.00,0.01,0.50,0.01,0.01,0.50,0.50
199,"Portuguese Water Dog",1.00,0.50,1.00,0.50,1.00,1.00,1.00
200,"Presa Canario",-0.50,-1.00,-1.00,1.00,0.50,-0.50,1.00
202,"Pug",1.00,1.00,1.00,0.50,0.50,0.01,0.01
203,"Puli",1.00,0.01,0.01,1.00,1.00,0.01,1.00
204,"Pumi",1.00,0.01,0.50,0.50,1.00,1.00,1.00
207,"Pyrenean Shepherd",1.00,0.01,1.00,1.00,1.00,1.00,1.00
209,"Rat Terrier",1.00,1.00,1.00,0.50,1.00,0.50,1.00
210,"Redbone Coonhound",1.00,0.01,0.01,0.01,0.01,0.01,0.50
211,"Rhodesian Ridgeback",1.00,0.01,0.01,1.00,0.50,0.01,0.50
213,"Rottweiler",1.00,0.01,0.50,1.00,1.00,0.50,1.00
214,"Jack Russell Terrier",1.00,1.00,1.00,0.50,0.01,1.00,1.00
215,"Russian Toy",1.00,0.01,0.50,0.50,0.50,0.01,0.01
216,"Saint Bernard",1.00,0.01,0.01,1.00,0.01,0.01,0.01
217,"Saluki",1.00,0.01,0.01,-1.00,0.01,0.50,1.00
218,"Samoyed",1.00,1.00,1.00,0.50,0.50,0.50,0.50
220,"Schipperke",1.00,0.01,0.50,1.00,0.50,0.01,0.01
221,"Scottish Deerhound",1.00,0.01,0.01,0.01,0.01,0.01,0.01
222,"Scottish Terrier",1.00,0.01,0.50,1.00,0.01,0.01,0.01
223,"Sealyham Terrier",1.00,0.50,0.01,1.00,0.50,0.01,0.01
225,"Shetland Sheepdog",1.00,-0.50,1.00,1.00,1.00,0.50,0.50
226,"Shiba Inu",1.00,0.01,0.01,1.00,-0.50,0.01,0.50
227,"Shih Tzu",1.00,0.01,0.01,0.01,0.50,0.01,0.01
228,"Shikoku",0.01,0.01,0.01,0.01,0.01,0.01,0.01
229,"Siberian Husky",1.00,1.00,1.00,-1.00,0.01,1.00,0.50
230,"Silky Terrier",1.00,0.50,0.50,1.00,0.50,0.01,0.01
231,"Skye Terrier",1.00,0.01,0.01,0.01,0.01,0.01,0.01
232,"Sloughi",0.50,-0.50,0.01,-0.50,0.01,0.50,0.01
233,"Slovakian Wirehaired Pointer",1.00,0.01,0.01,0.01,1.00,0.50,0.01
234,"Slovensky Cuvac",1.00,-0.50,0.01,1.00,0.01,0.01,0.01
235,"Slovensky Kopov",1.00,0.01,0.01,0.01,0.50,0.01,0.01
236,"Small Munsterlander",1.00,0.01,0.01,0.01,1.00,0.50,0.50
237,"Smooth Fox Terrier",1.00,0.01,0.50,1.00,0.01,0.50,0.01
240,"Spanish Water Dog",1.00,0.01,0.50,0.01,0.50,0.50,1.00
241,"Spinone Italiano",1.00,0.01,0.01,0.01,0.50,0.01,0.01
243,"Staffordshire Bull Terrier",1.00,0.50,0.50,1.00,1.00,0.50,0.01
244,"Schnauzer",1.00,0.01,0.50,1.00,1.00,0.01,1.00
245,"Sussex Spaniel",1.00,0.01,0.50,0.01,0.01,0.01,0.50
246,"Swedish Lapphund",1.00,0.50,0.50,0.50,1.00,0.50,0.50
247,"Swedish Vallhund",1.00,0.01,0.50,0.01,0.50,0.50,0.50
251,"Thai Ridgeback",1.00,-1.00,0.01,1.00,0.01,0.01,0.50
252,"Tibetan Mastiff",0.50,-1.00,0.01,1.00,0.01,0.01,0.50
253,"Tibetan Spaniel",1.00,0.50,0.50,0.50,0.01,0.01,0.01
254,"Tibetan Terrier",1.00,0.01,0.01,0.50,0.01,0.50,0.50
256,"Tosa Inu",1.00,-1.00,0.01,1.00,0.01,0.01,0.50
257,"Toy Fox Terrier",1.00,1.00,0.50,1.00,1.00,0.50,0.50
258,"Transylvanian Hound",1.00,0.50,1.00,1.00,0.50,1.00,1.00
259,"Tennessee Treeing Brindle",1.00,0.01,0.01,0.01,0.01,0.01,0.50
260,"Vizsla",1.00,0.50,1.00,0.01,1.00,1.00,1.00
262,"Weimaraner",1.00,0.01,1.00,1.00,1.00,1.00,1.00
263,"Welsh Springer Spaniel",1.00,-1.00,0.01,0.01,1.00,0.50,0.50
264,"Welsh Terrier",1.00,1.00,0.50,0.50,0.50,0.50,0.50
265,"West Highland White Terrier / Westie",1.00,0.50,1.00,1.00,0.01,0.50,0.50
266,"Whippet",1.00,0.01,0.50,0.01,0.01,0.50,0.50
267,"Wire Fox Terrier",1.00,1.00,0.50,0.50,0.50,0.50,0.50
268,"Wirehaired Pointing Griffon",1.00,1.00,0.50,0.01,1.00,1.00,1.00
270,"Xoloitzcuintli",1.00,0.01,0.50,0.01,0.50,0.50,0.50
271,"Yakutian Laika",1.00,-1.00,0.50,1.00,0.01,1.00,1.00
272,"Yorkshire Terrier",1.00,1.00,0.50,1.00,0.50,0.50,0.50
273,"American Bulldog",1.00,0.50,0.01,0.50,0.01,0.01,0.01
274,"American Bully",1.00,0.50,0.01,0.50,0.01,0.01,0.01
275,"Black Labrador Retriever",1.00,1.00,1.00,0.01,1.00,1.00,0.50
276,"Black Mouth Cur",0.01,-1.00,1.00,1.00,1.00,1.00,1.00
277,"Catahoula Leopard Dog",0.50,0.01,0.01,0.50,0.50,1.00,0.50
278,"Cattle Dog",0.01,0.01,0.01,0.50,0.50,1.00,0.50
279,"Chocolate Labrador Retriever",1.00,1.00,1.00,0.01,1.00,1.00,0.50
280,"Coonhound",0.01,0.01,0.01,-0.50,0.50,0.50,0.01
281,"Corgi",0.50,0.50,0.50,0.01,0.50,0.50,0.50
282,"Dachshund (Long Haired)",1.00,0.50,0.50,0.50,0.50,0.01,0.01
283,"Dachshund(Miniature Long Haired)",1.00,0.50,0.50,0.50,0.50,0.01,0.01
284,"English Bulldog",0.50,0.50,0.50,0.01,0.50,0.01,0.01
285,"English Cocker Spaniel",0.50,0.50,0.01,0.01,0.50,0.50,0.01
286,"Foxhound",1.00,0.50,0.50,0.01,0.50,0.50,0.50
287,"Fox Terrier",1.00,0.01,0.50,1.00,0.01,0.50,0.01
288,"Husky",1.00,1.00,1.00,-1.00,0.01,1.00,0.50
289,"Japanese Akita",0.01,-0.50,0.01,1.00,0.01,0.50,0.01
290,"Miniature Dachshund",1.00,0.50,0.50,0.50,0.50,0.01,0.01
291,"Minature Poodle",1.00,1.00,1.00,0.01,1.00,0.50,0.50
292,"Pit Bull Terrier",1.00,0.50,0.01,0.50,0.01,0.01,0.01
293,"Rough Collie",0.50,0.01,0.50,0.01,0.50,0.01,0.01
294,"Smooth Collie",0.50,0.01,0.50,0.01,0.50,0.01,0.01
295,"Standard Poodle",1.00,1.00,1.00,0.01,1.00,0.50,0.50
